geometry,lat,lon
POINT (77.52375699999999 12.8794274),12.8794274,77.52375699999999
POINT (77.52873272948717 12.8794274),12.8794274,77.52873272948717
POINT (77.53370845897435 12.8794274),12.8794274,77.53370845897435
POINT (77.53868418846153 12.8794274),12.8794274,77.53868418846153
POINT (77.54365991794872 12.8794274),12.8794274,77.54365991794872
POINT (77.54863564743589 12.8794274),12.8794274,77.54863564743589
POINT (77.55361137692307 12.8794274),12.8794274,77.55361137692307
POINT (77.55858710641024 12.8794274),12.8794274,77.55858710641024
POINT (77.56356283589743 12.8794274),12.8794274,77.56356283589743
POINT (77.56853856538461 12.8794274),12.8794274,77.56853856538461
POINT (77.57351429487179 12.8794274),12.8794274,77.57351429487179
POINT (77.57849002435897 12.8794274),12.8794274,77.57849002435897
POINT (77.58346575384616 12.8794274),12.8794274,77.58346575384616
POINT (77.58844148333333 12.8794274),12.8794274,77.58844148333333
POINT (77.59341721282051 12.8794274),12.8794274,77.59341721282051
POINT (77.5983929423077 12.8794274),12.8794274,77.5983929423077
POINT (77.60336867179487 12.8794274),12.8794274,77.60336867179487
POINT (77.60834440128205 12.8794274),12.8794274,77.60834440128205
POINT (77.61332013076924 12.8794274),12.8794274,77.61332013076924
POINT (77.61829586025641 12.8794274),12.8794274,77.61829586025641
POINT (77.6232715897436 12.8794274),12.8794274,77.6232715897436
POINT (77.62824731923077 12.8794274),12.8794274,77.62824731923077
POINT (77.63322304871795 12.8794274),12.8794274,77.63322304871795
POINT (77.63819877820514 12.8794274),12.8794274,77.63819877820514
POINT (77.64317450769231 12.8794274),12.8794274,77.64317450769231
POINT (77.6481502371795 12.8794274),12.8794274,77.6481502371795
POINT (77.65312596666668 12.8794274),12.8794274,77.65312596666668
POINT (77.65810169615385 12.8794274),12.8794274,77.65810169615385
POINT (77.66307742564103 12.8794274),12.8794274,77.66307742564103
POINT (77.66805315512822 12.8794274),12.8794274,77.66805315512822
POINT (77.67302888461539 12.8794274),12.8794274,77.67302888461539
POINT (77.67800461410258 12.8794274),12.8794274,77.67800461410258
POINT (77.68298034358976 12.8794274),12.8794274,77.68298034358976
POINT (77.68795607307693 12.8794274),12.8794274,77.68795607307693
POINT (77.69293180256412 12.8794274),12.8794274,77.69293180256412
POINT (77.69790753205129 12.8794274),12.8794274,77.69790753205129
POINT (77.70288326153847 12.8794274),12.8794274,77.70288326153847
POINT (77.70785899102566 12.8794274),12.8794274,77.70785899102566
POINT (77.71283472051283 12.8794274),12.8794274,77.71283472051283
POINT (77.71781045000002 12.8794274),12.8794274,77.71781045000002
POINT (77.52375699999999 12.883841482051283),12.883841482051283,77.52375699999999
POINT (77.52873272948717 12.883841482051283),12.883841482051283,77.52873272948717
POINT (77.53370845897435 12.883841482051283),12.883841482051283,77.53370845897435
POINT (77.53868418846153 12.883841482051283),12.883841482051283,77.53868418846153
POINT (77.54365991794872 12.883841482051283),12.883841482051283,77.54365991794872
POINT (77.54863564743589 12.883841482051283),12.883841482051283,77.54863564743589
POINT (77.55361137692307 12.883841482051283),12.883841482051283,77.55361137692307
POINT (77.55858710641024 12.883841482051283),12.883841482051283,77.55858710641024
POINT (77.56356283589743 12.883841482051283),12.883841482051283,77.56356283589743
POINT (77.56853856538461 12.883841482051283),12.883841482051283,77.56853856538461
POINT (77.57351429487179 12.883841482051283),12.883841482051283,77.57351429487179
POINT (77.57849002435897 12.883841482051283),12.883841482051283,77.57849002435897
POINT (77.58346575384616 12.883841482051283),12.883841482051283,77.58346575384616
POINT (77.58844148333333 12.883841482051283),12.883841482051283,77.58844148333333
POINT (77.59341721282051 12.883841482051283),12.883841482051283,77.59341721282051
POINT (77.5983929423077 12.883841482051283),12.883841482051283,77.5983929423077
POINT (77.60336867179487 12.883841482051283),12.883841482051283,77.60336867179487
POINT (77.60834440128205 12.883841482051283),12.883841482051283,77.60834440128205
POINT (77.61332013076924 12.883841482051283),12.883841482051283,77.61332013076924
POINT (77.61829586025641 12.883841482051283),12.883841482051283,77.61829586025641
POINT (77.6232715897436 12.883841482051283),12.883841482051283,77.6232715897436
POINT (77.62824731923077 12.883841482051283),12.883841482051283,77.62824731923077
POINT (77.63322304871795 12.883841482051283),12.883841482051283,77.63322304871795
POINT (77.63819877820514 12.883841482051283),12.883841482051283,77.63819877820514
POINT (77.64317450769231 12.883841482051283),12.883841482051283,77.64317450769231
POINT (77.6481502371795 12.883841482051283),12.883841482051283,77.6481502371795
POINT (77.65312596666668 12.883841482051283),12.883841482051283,77.65312596666668
POINT (77.65810169615385 12.883841482051283),12.883841482051283,77.65810169615385
POINT (77.66307742564103 12.883841482051283),12.883841482051283,77.66307742564103
POINT (77.66805315512822 12.883841482051283),12.883841482051283,77.66805315512822
POINT (77.67302888461539 12.883841482051283),12.883841482051283,77.67302888461539
POINT (77.67800461410258 12.883841482051283),12.883841482051283,77.67800461410258
POINT (77.68298034358976 12.883841482051283),12.883841482051283,77.68298034358976
POINT (77.68795607307693 12.883841482051283),12.883841482051283,77.68795607307693
POINT (77.69293180256412 12.883841482051283),12.883841482051283,77.69293180256412
POINT (77.69790753205129 12.883841482051283),12.883841482051283,77.69790753205129
POINT (77.70288326153847 12.883841482051283),12.883841482051283,77.70288326153847
POINT (77.70785899102566 12.883841482051283),12.883841482051283,77.70785899102566
POINT (77.71283472051283 12.883841482051283),12.883841482051283,77.71283472051283
POINT (77.71781045000002 12.883841482051283),12.883841482051283,77.71781045000002
POINT (77.52375699999999 12.888255564102565),12.888255564102565,77.52375699999999
